Filter 1 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 2 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 3 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 4 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 5 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 6 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 7 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 8 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 9 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 10 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 11 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 12 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 13 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 14 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 15 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 16 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 17 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 18 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 19 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 20 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 21 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 22 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 23 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 24 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 25 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 26 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 27 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 28 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 29 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 30 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 31 - False Positive Rate: 0.0, Accuracy: 1.0
Filter 32 - False Positive Rate: 0.0, Accuracy: 1.0
